ds,yhat,yhat_lower,yhat_upper
2020-04-13,60548.49290794906,17814.784080117224,102085.13274573769
2020-04-20,106912.27009651397,64899.081577713565,149731.2515468604
2020-04-27,91091.93783046475,51012.661535055675,133620.41570829967
2020-05-04,117570.38417010248,74590.93048680211,160580.85419197378
2020-05-11,89096.08169492715,48079.38640841388,130221.84394795969
2020-05-18,50056.376231237606,4853.066137081911,91613.77037101296
2020-05-25,99816.88039136825,59892.41453911885,143540.06856076827
2020-06-01,99961.59352003757,60073.96491284909,146037.51047722026
2020-06-08,109541.92660905817,66154.86427056878,151886.23259375035
2020-06-15,117783.88705079032,74874.27487387802,162216.0061215159
2020-06-22,117010.46131371724,73756.23035922683,160325.16995888503
2020-06-29,111780.27499202042,69844.03873038756,157654.75958147852
2020-07-06,112034.51303071095,69157.39310647745,153865.1881704605
2020-07-13,118844.10429307683,77123.80372392225,162019.15237370942
2020-07-20,121896.40016929526,75247.09199508824,163002.0624016358
2020-07-27,113558.72025481488,72168.91511584645,156491.51283238962
2020-08-03,102011.44282987816,60902.24607831149,144668.50299322163
2020-08-10,104593.47802488419,63191.65032788993,147221.02668076789
2020-08-17,126355.37320822237,83561.60787125862,167340.45851051027
2020-08-24,149460.85274203325,105834.26082040332,190225.71109865487
2020-08-31,149282.61017334805,106490.22295916874,192446.2564877043
2020-09-07,121792.74685332485,80702.8131243285,164329.7347723877
2020-09-14,91086.67303251076,49731.53293545009,128946.7721557635
2020-09-21,86432.07417257463,44647.53934805381,129511.0193309371
2020-09-28,112960.20329107292,70455.83657726653,155481.8193353887
2020-10-05,148431.75881205732,108040.92667975959,192660.0421305418
2020-10-12,169513.55878060742,127099.60071171286,214502.3703883185
2020-10-19,177514.09857609292,135405.65800310211,221035.50364096233
2020-10-26,194242.6597855888,152668.9108424067,238411.44643983396
2020-11-02,232859.28068649198,190352.9002706664,272383.22342405136
2020-11-09,277034.20892316924,232705.01361257143,320302.84042124485
2020-11-16,292395.3122409455,248650.60448513846,333453.98977341613
2020-11-23,258634.36364359895,217705.61657629925,302251.4475187258
2020-11-30,189055.92750307292,142862.68647412377,229263.31076891275
2020-12-07,119154.63640538987,77958.86181513726,159246.34597358896
2020-12-14,78047.59436323438,33759.620076334904,119120.55279398857
2020-12-21,70702.80588215496,30484.018305153062,113045.56136635637
2020-12-28,83280.17391043722,42451.13419285026,125036.7138557559
2021-01-04,99975.46384196293,58867.141032666426,145649.4084132697
2021-01-11,113382.78174574958,71551.26595522741,158520.77996681345
2021-01-18,123137.09218743564,80397.72264273188,167635.06570722314
2021-01-25,130478.80286117931,85388.70866668686,173807.36929881643
2021-02-01,135956.08136619863,95589.21840584614,176606.58562752546
2021-02-08,139630.90164658456,97737.25330159038,179730.5145484674
2021-02-15,140569.16076586215,97000.56179299728,183243.82316057486
2021-02-22,136514.72025336575,92313.46585844227,180849.42023764734
2021-03-01,126421.47277034793,82090.11894073001,168421.596679683
2021-03-08,113906.30934664575,69884.16984743514,156113.83272405487
2021-03-15,106128.88818591792,66780.24628532608,147909.87968303234
2021-03-22,107337.83670588766,63384.659961882964,148197.58465926713
2021-03-29,114196.59869666546,72699.89790479426,154181.85193674214
2021-04-05,119462.29241898812,75849.1193676097,161555.52632161102
2021-04-12,120443.65237514392,78763.5679456695,161189.62523460778
2021-04-19,121694.56955784402,79635.72292992008,166988.10451012538
2021-04-26,127947.75572228356,84072.3426278201,171893.06552268766
2021-05-03,136144.5290122758,92738.43237982366,176473.08389705865
2021-05-10,137656.99607720046,96357.95407905745,180267.90930350992
2021-05-17,129117.33897125753,84770.2949828495,173275.3727871522
2021-05-24,118268.99544032948,73148.30500141688,159700.6346460614
2021-05-31,116255.2270148258,74274.39335565433,156197.9954965675
2021-06-07,124785.31681732798,85545.16216347311,165236.19250965994
2021-06-14,134114.1103501377,93194.83750346536,178184.58700281312
2021-06-21,134974.35546131694,89128.95334087338,175820.81638745093
2021-06-28,129768.28408582284,85565.8504140168,168601.7427984053
2021-07-05,128565.25449117523,90180.16677467819,170738.36701667926
2021-07-12,134747.74793406588,91719.78930856421,177996.0020611172
2021-07-19,139353.49979933354,96679.0561969305,182821.0215097957
2021-07-26,132955.5233646626,89988.29417912372,174724.5852124172
2021-08-02,120719.20548724671,78093.83473751994,163477.12442228035
2021-08-09,119777.30356463892,76163.61410237792,159268.32920439227
2021-08-16,138822.83352561723,96229.21651208404,182352.8054164136
2021-08-23,163679.19315239904,124091.33660706805,209193.3926981538
2021-08-30,168833.29862042784,122932.42057039165,210905.52347209846
2021-09-06,145108.68364949763,105875.96956749627,187376.01523627527
2021-09-13,112528.75252054541,72151.26629100152,154345.70118890167
2021-09-20,101898.42481945062,58830.19719006778,145017.44138909946
2021-09-27,123929.29593584943,80993.58353939798,165473.233892711
2021-10-04,159930.74859433505,115335.19233047096,199636.9702454183
2021-10-11,184351.11234623403,142155.7860724762,228197.24930558974
2021-10-18,193366.31083068962,153574.60062432324,236832.1297018065
2021-10-25,206900.33056597452,162676.72403901786,250542.53827730185
2021-11-01,241906.3934871222,199078.92900172883,284792.23594817444
2021-11-08,287476.54073671694,244050.75899164253,329490.1512151442
2021-11-15,310293.7211126975,270224.32533690037,353225.0483782213
2021-11-22,285324.64836773387,241929.74963077385,327949.0076085491
2021-11-29,219824.2268608642,173752.10437350534,262109.65790633755
2021-12-06,147300.58596293238,105352.99854041134,188592.7103710508
